memory_result,time_result
100.94921875,2.1457672119140625e-05
100.953125,9.799003601074219e-05
100.953125,0.00012350082397460938
100.95703125,0.00021696090698242188
100.9609375,0.0002799034118652344
100.96484375,0.0005350112915039062
100.96484375,0.0006778240203857422
100.96484375,0.0009229183197021484
100.96484375,0.0010800361633300781
100.96484375,0.0014579296112060547
100.96484375,0.0021800994873046875
100.96484375,0.002621889114379883
100.96484375,0.0031464099884033203
100.96484375,0.004147052764892578
100.97265625,0.004899024963378906
100.97265625,0.005866050720214844
100.97265625,0.00707697868347168
100.97265625,0.008214235305786133
100.97265625,0.009913206100463867
100.97265625,0.012102603912353516
100.97265625,0.014583349227905273
100.9765625,0.015148162841796875
100.9765625,0.01743626594543457
100.9765625,0.019313812255859375
100.9765625,0.02183675765991211
100.9765625,0.02478480339050293
100.98046875,0.027573585510253906
100.98046875,0.03397083282470703
100.98046875,0.033883094787597656
100.98046875,0.037926673889160156
100.984375,0.04171156883239746
100.984375,0.04617929458618164
100.984375,0.04978799819946289
100.9921875,0.05545806884765625
100.9921875,0.0627894401550293
100.9921875,0.06508564949035645
100.9921875,0.07111096382141113
100.99609375,0.07684850692749023
100.99609375,0.08293843269348145
100.99609375,0.09144878387451172
101.0,0.09602236747741699
101.0,0.10517120361328125
101.0,0.11085820198059082
101.00390625,0.11807036399841309
101.00390625,0.1278398036956787
101.0078125,0.13542914390563965
101.0078125,0.14472484588623047
101.0078125,0.15423917770385742
101.01171875,0.1644124984741211
101.01171875,0.17344117164611816
101.015625,0.18509721755981445
101.015625,0.19539880752563477
101.015625,0.20919108390808105
101.01953125,0.22088861465454102
101.01953125,0.23393678665161133
101.01953125,0.2462630271911621
101.0234375,0.2606029510498047
101.0234375,0.27435994148254395
101.02734375,0.2990131378173828
101.03125,0.30371856689453125
101.03125,0.3186314105987549
101.03125,0.332958459854126
101.03515625,0.3569512367248535
101.03515625,0.3822917938232422
101.0390625,0.38799571990966797
101.04296875,0.4051814079284668
101.04296875,0.42406606674194336
101.04296875,0.442760705947876
101.046875,0.45998072624206543
101.05078125,0.4808945655822754
101.05078125,0.5014450550079346
101.05078125,0.523792028427124
101.0546875,0.5459761619567871
101.05859375,0.5692696571350098
101.0625,0.5934107303619385
101.0625,0.6165831089019775
101.06640625,0.6388552188873291
101.0703125,0.6665294170379639
101.0703125,0.6970276832580566
101.07421875,0.7411432266235352
101.078125,0.7505171298980713
101.078125,0.772953987121582
101.08203125,0.810297966003418
101.08203125,0.828801155090332
101.0859375,0.8631019592285156
101.08984375,0.896991491317749
101.08984375,0.9236583709716797
101.09375,0.9564323425292969
101.09375,0.9905991554260254
101.1015625,1.0224759578704834
101.1015625,1.070347547531128
101.10546875,1.1001555919647217
101.10546875,1.138227939605713
101.11328125,1.1699554920196533
101.11328125,1.209380865097046
101.1171875,1.2385680675506592
101.1171875,1.2807917594909668
101.12890625,1.3335304260253906
101.1328125,1.3711228370666504
101.1328125,1.4020929336547852
